Number,Incident.Type,Creation.Date,Latitude,Longitude,Total.population,One.race.1,White,Black.or.African.American,American.Indian.and.Alaska.Native,Asian,Hispanic.or.Latino..of.any.race.,Median.household.income..dollars.,groupedtype,newBorough
144,Fire-2nd Alarm,41902.50803,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
145,Fire-2nd Alarm,41901.0141,40.71845959,-73.73955893,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
146,Fire-Other,41900.69483,NA,NA,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
147,Fire-2nd Alarm,41899.90771,40.75895503,-73.99004963,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
148,Fire-Manhole,41899.79639,40.75519635,-73.97123723,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
149,Fire-10-76 (Commercial High Rise Fire),41899.30735,40.75181981,-73.98100405,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
150,Fire-10-76 (Commercial High Rise Fire),41899.83064,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
151,Fire-10-76 (Commercial High Rise Fire),41898.70663,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
152,Fire-Haz Mat,41888.49676,40.74862337,-73.78334185,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
153,Law Enforcement-Device,41896.31584,40.67510857,-73.85442551,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Law,QUEENS
154,Fire-3rd Alarm,41892.76457,40.73422535,-73.98016019,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
155,Fire-Haz Mat,41888.49676,40.74862337,-73.78334185,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
156,Law Enforcement-Suspicious Package,41891.66237,40.69484053,-73.984523,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Law,BROOKLYN
157,Fire-2nd Alarm,41891.60777,40.82423321,-73.95110945,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
158,Fire-2nd Alarm,41890.76314,40.59904267,-73.75665897,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
159,Fire-2nd Alarm,41890.17671,40.68701221,-73.96552305,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
160,Fire-1st Alarm,41888.55897,40.772512,-73.98106095,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
161,Law Enforcement-Suspicious Package,41887.83677,40.728915,-73.9903635,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
162,Fire-3rd Alarm,41886.67612,40.79457979,-73.94394205,"8,622,698","8,329,402","3,635,789","2,094,132","35,124","1,252,589","2,517,429","60,879",Fir,NEW YORK CITY
163,Law Enforcement-Device,41885.68837,NA,NA,"479,458","470,053","351,632","51,411","1,019","45,761","89,066","79,201",Law,STATEN ISLAND
164,Fire-Haz Mat,41883.44388,40.58146805,-74.16903837,"479,458","470,053","351,632","51,411","1,019","45,761","89,066","79,201",Fir,STATEN ISLAND
165,Fire-Manhole,41878.63332,40.70158053,-73.94551127,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
166,Fire-2nd Alarm,41878.5076,40.75668881,-73.99258247,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
167,Fire-Other,41877.64795,40.712481,-73.7844705,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
