YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
2017/06,All Fire/Emergency Incidents,Staten Island,2513,4:44
2017/06,All Fire/Emergency Incidents,Brooklyn,14543,4:28
2017/06,All Fire/Emergency Incidents,Queens,10213,5:10
2017/06,False Alarm,New York City,2040,4:44
2017/06,False Alarm,Manhattan,372,5:18
2017/06,False Alarm,Bronx,464,5:01
2017/06,False Alarm,Staten Island,121,4:22
2017/06,False Alarm,Brooklyn,584,4:11
2017/06,False Alarm,Queens,499,4:46
2017/06,Medical Emergencies,New York City,25428,4:37
2017/06,Medical Emergencies,Manhattan,7131,4:58
2017/06,Medical Emergencies,Bronx,4849,4:56
2017/06,Medical Emergencies,Staten Island,1170,4:32
2017/06,Medical Emergencies,Brooklyn,7198,4:07
2017/06,Medical Emergencies,Queens,5080,4:43
2017/06,Medical False Alarm,New York City,274,4:40
2017/06,Medical False Alarm,Manhattan,57,4:41
2017/06,Medical False Alarm,Bronx,65,5:08
2017/06,Medical False Alarm,Staten Island,10,5:03
2017/06,Medical False Alarm,Brooklyn,90,4:15
2017/06,Medical False Alarm,Queens,52,4:56
2017/06,NonMedical Emergencies,New York City,20744,5:27
2017/06,NonMedical Emergencies,Manhattan,5712,5:40
2017/06,NonMedical Emergencies,Bronx,4302,5:42
2017/06,NonMedical Emergencies,Staten Island,1054,4:56
2017/06,NonMedical Emergencies,Brooklyn,5735,4:55
2017/06,NonMedical Emergencies,Queens,3941,5:44
2017/06,NonStructural Fires,New York City,1153,4:27
2017/06,NonStructural Fires,Manhattan,293,4:37
2017/06,NonStructural Fires,Bronx,223,4:48
2017/06,NonStructural Fires,Staten Island,68,4:37
2017/06,NonStructural Fires,Brooklyn,338,3:54
2017/06,NonStructural Fires,Queens,231,4:39
2017/06,Structural Fires,New York City,1966,4:16
2017/06,Structural Fires,Manhattan,424,4:29
2017/06,Structural Fires,Bronx,444,4:23
2017/06,Structural Fires,Staten Island,90,4:41
2017/06,Structural Fires,Brooklyn,598,3:45
2017/06,Structural Fires,Queens,410,4:34
2017/05,All Fire/Emergency Incidents,New York City,49975,4:56
2017/05,All Fire/Emergency Incidents,Manhattan,13683,5:17
2017/05,All Fire/Emergency Incidents,Bronx,10101,5:15
2017/05,All Fire/Emergency Incidents,Staten Island,2462,4:48
2017/05,All Fire/Emergency Incidents,Brooklyn,14002,4:22
2017/05,All Fire/Emergency Incidents,Queens,9727,5:04
2017/05,False Alarm,New York City,1847,4:41
